date,TICKER,INDEXNAME,DURATION,daily_value
2022-11-30,MELI,Mercado Libre Transaction Index,Daily,0.18504712604515464
2022-12-01,MELI,Mercado Libre Transaction Index,Daily,0.21283462619459023
2022-12-02,MELI,Mercado Libre Transaction Index,Daily,0.20993908879894074
2022-12-05,MELI,Mercado Libre Transaction Index,Daily,0.20704355140329123
2022-12-06,MELI,Mercado Libre Transaction Index,Daily,0.20414801400764174
2022-12-07,MELI,Mercado Libre Transaction Index,Daily,0.20125247661199225
2022-12-08,MELI,Mercado Libre Transaction Index,Daily,0.19835693921634273
2022-12-09,MELI,Mercado Libre Transaction Index,Daily,0.19546140182069324
2022-12-12,MELI,Mercado Libre Transaction Index,Daily,0.19256586442504373
2022-12-13,MELI,Mercado Libre Transaction Index,Daily,0.18967032702939424
2022-12-14,MELI,Mercado Libre Transaction Index,Daily,0.18677478963374472
2022-12-15,MELI,Mercado Libre Transaction Index,Daily,0.18387925223809523
2022-12-16,MELI,Mercado Libre Transaction Index,Daily,0.18098371484244571
2022-12-19,MELI,Mercado Libre Transaction Index,Daily,0.17808817744679623
2022-12-20,MELI,Mercado Libre Transaction Index,Daily,0.17519264005114674
2022-12-21,MELI,Mercado Libre Transaction Index,Daily,0.17229710265549725
2022-12-22,MELI,Mercado Libre Transaction Index,Daily,0.16940156525984773
2022-12-23,MELI,Mercado Libre Transaction Index,Daily,0.16650602786419824
2022-12-27,MELI,Mercado Libre Transaction Index,Daily,0.16361049046854872
2022-12-28,MELI,Mercado Libre Transaction Index,Daily,0.16071495307289926
2022-12-29,MELI,Mercado Libre Transaction Index,Daily,0.15781941567724975
2022-12-30,MELI,Mercado Libre Transaction Index,Daily,0.15492387828160023
2023-01-03,MELI,Mercado Libre Transaction Index,Daily,0.17904275186423346
2023-01-04,MELI,Mercado Libre Transaction Index,Daily,0.1824251104522089
2023-01-05,MELI,Mercado Libre Transaction Index,Daily,0.18580746904018436
2023-01-06,MELI,Mercado Libre Transaction Index,Daily,0.18918982762815975
